"","vbgf.fits.agg$wbic","vbgf.fits.agg$year","Linf","k","t0"
"42",2962900,1992,32.2451951913222,0.124391360200892,0.00991702589116518
"43",2956500,1992,33.0309241755931,0.115559921868555,-0.468691597026451
"44",1602600,1994,35.0265339866481,0.112290369667912,0.0823869581200005
"45",1591100,1994,32.7946949506498,0.121752651073426,-0.139126553974538
"46",2328700,1994,84.2495084116125,0.0301521390905405,-1.03313112581659
"47",2331600,1994,28.5192348199833,0.157360816411377,-0.265571065278856
"48",1596300,1997,33.7082373104431,0.118611144713777,-1.08306440446889
"49",2311100,1997,84.8403021201039,0.0232840726626184,-2.35505222488738
"50",2338300,1995,25.9176158078903,0.138668463762557,-0.823877247235249
"51",1018500,1995,33.7591051037131,0.146194228956341,-0.39838318041953
"52",2334700,1995,54.5958135690476,0.0510488184785379,-1.51888832815261
"53",2958500,1997,34.7743295684859,0.0872198857082451,-1.59765388910436
"54",1605200,1997,65.9910539240308,0.0286970273393574,-3.18172687113981
"55",1593100,1997,565.278109166639,0.0026330528646245,-4.24572242132747
"56",1592400,1995,35.985375997062,0.092869324780362,-1.14003504232475
"57",2332400,1995,85.4376543834646,0.020801639403467,-4.81050452687259
"58",716800,1998,62.7893383015483,0.0268181252647333,-9.54082957407721
"59",1593800,1998,60.0591746533542,0.0319925510167998,-4.35537136138367
"60",1545600,1998,113.884379471007,0.0170791274495375,-2.57362151937194
"61",1593400,1998,104.194579093402,0.0162649401440079,-4.32808310719574
"62",1545300,1996,51.9823743591592,0.0453681342674733,-2.44374712959799
"63",1623800,1996,49.3447336046482,0.0511478666640544,-1.85408099894227
"64",1835300,1996,69.163537856339,0.030948699992123,-2.25412146121112
"65",1630100,1999,36.2923994162367,0.0810275405026938,-3.05179563433395
"66",2334400,1999,35.5119911655821,0.0833125286596945,-1.71282137290424
"67",2329300,1999,58.3360050066241,0.0452469045585188,-1.55662724540145
"68",2334300,1999,74.02974410725,0.0276733669281503,-2.89143061541224
