"","wbic","Name","pe","Model","year","age0.cpe","COUNTY","LAKE","AREA","WDNRTYPE","CODE","CRNTCODE","annual.fishing.effort"
"201",692900,"FRANKLIN",583,1,2009,NA,NA,NA,NA,NA,NA,NA,NA
"202",692900,"Franklin L",248,1,2013,8.3333333,"FOREST","FRANKLIN L",892,NA,"C-NR","C-NR",NA
"203",692900,"FRANKLIN",692,1,2014,0,"FOREST","FRANKLIN L",892,NA,"C-NR","C-NR",NA
"204",716800,"KENTUCK",6802,1,1984,NA,NA,NA,NA,NA,NA,NA,NA
"205",716800,"KENTUCK",7383,1,1989,NA,NA,NA,NA,NA,NA,NA,NA
"206",716800,"KENTUCK",7891,1,1990,NA,NA,NA,NA,NA,NA,NA,NA
"207",716800,"KENTUCK",3320,1,1991,NA,NA,NA,NA,NA,NA,NA,NA
"208",716800,"KENTUCK",4018,1,1992,0,"VILAS","KENTUCK L",957,NA,"NR","C-ST",66073.4208916084
"209",716800,"KENTUCK",2282,1,1993,NA,NA,NA,NA,NA,NA,NA,NA
"210",716800,"KENTUCK",3532,1,1994,0,"VILAS","KENTUCK L",957,NA,"NR","C-ST",NA
"211",716800,"KENTUCK",908,1,1995,NA,NA,NA,NA,NA,NA,NA,NA
"212",716800,"KENTUCK",626,1,1996,0,"VILAS","KENTUCK L",957,NA,"NR","C-ST",NA
"213",716800,"KENTUCK",1009,1,1997,0,"VILAS","KENTUCK L",957,NA,"NR","C-ST",NA
"214",716800,"KENTUCK",731,1,1998,NA,NA,NA,NA,NA,NA,NA,68538.9338369963
"215",716800,"KENTUCK",2538,2,2002,NA,NA,NA,NA,NA,NA,NA,NA
"216",716800,"KENTUCK",10474,1,2003,NA,NA,NA,NA,NA,NA,NA,NA
"217",716800,"Kentuck",12899,1,2004,NA,NA,NA,NA,NA,NA,NA,NA
"218",716800,"KENTUCK",9549,1,2005,39.5,"VILAS","KENTUCK L",957,NA,"C-NR","C-ST",NA
"219",716800,"KENTUCK",12489,1,2006,51,"VILAS","KENTUCK L",957,"Baseline","C-NR","C-ST",NA
"220",716800,"KENTUCK",7520,1,2007,2.3333333,"VILAS","KENTUCK L",957,NA,"C-NR","C-ST",NA
"221",716800,"KENTUCK",13237,1,2008,0,"VILAS","KENTUCK L",957,NA,"C-NR","C-ST",NA
"222",716800,"KENTUCK",12115,1,2009,0,"VILAS","KENTUCK L",957,NA,"C-NR","C-ST",NA
"223",716800,"Kentuck L",3277,1,2010,0,"VILAS","KENTUCK L",957,NA,"C-NR","C-ST",NA
"224",716800,"Kentuck",1546,1,2011,0,"VILAS","KENTUCK L",957,NA,"C-NR","C-ST",NA
"225",716800,"Kentuck",1579,1,2012,0,"VILAS","KENTUCK L",957,NA,"NR","C-ST",NA
"226",716800,"KENTUCK L",4705,1,2014,41.6666667,"VILAS","KENTUCK L",957,NA,"NR","C-ST",NA
"227",716800,"KENTUCK",2073,1,2015,0,"VILAS","KENTUCK L",957,NA,"C-NR","C-ST",29170.2085449273
"228",716800,"Kentuck",1766,2,2016,48.5,"VILAS","KENTUCK L",957,NA,"C-NR","C-ST",NA
"229",716800,"KENTUCK",1787,2,2017,50,"VILAS","KENTUCK L",957,NA,"C-ST","C-ST",NA
"230",716800,"Kentuck L",1708,2,2018,116,"VILAS","KENTUCK L",957,NA,"C-ST","C-ST",NA
"231",716800,"Kentuck L",5159,2,2019,22.20588235,"VILAS","KENTUCK",958,NA,"C-ST","C-ST",NA
"232",716800,"KENTUCK L",7433,2,2021,0.16,"VILAS","KENTUCK",958,NA,"C-ST","C-ST",30084.0288461538
"233",716800,"KENTUCK L",13503,2,2022,0,"VILAS","KENTUCK",958,NA,"C-ST","C-ST",NA
"234",968800,"ANVIL",4453,1,1991,25,"VILAS","ANVIL L",398,NA,"NR","C-ST",13953.2755924631
"235",968800,"Anvil",1880,1,2006,1.7777778,"VILAS","ANVIL L",398,"Baseline","NR","C-ST",NA
"236",968800,"ANVIL",2171,1,2007,7.1111111,"VILAS","ANVIL L",398,"Walleye","NR","C-ST",NA
"237",968800,"Anvil",1078,1,2015,6.6666667,"VILAS","ANVIL L",398,NA,"NR","C-ST",NA
"238",968800,"ANVIL",1106,1,2017,4.7916667,"VILAS","ANVIL L",398,NA,"NR","C-ST",NA
"239",968800,"ANVIL L",372,2,2021,5.6,"VILAS","ANVIL L",398,NA,"C-ST","C-ST",NA
"240",969600,"Bass",63,2,2007,0,"LINCOLN","BASS L",100,"Other","ST","NR-2",NA
"241",971600,"BIG CARR",435,1,1988,0,"ONEIDA","BIG CARR L",213,NA,"NR","REM",NA
"242",971600,"BIG CARR",498,1,1999,NA,"ONEIDA","BIG CARR L",213,NA,"C-NR","REM",NA
"243",971600,"BIG CARR",61,3,2016,0,"ONEIDA","BIG CARR L",213,NA,"ST","REM",3461.22797619048
"244",973000,"BOLGER",418,2,2003,0,"ONEIDA","BOLGER L",119,NA,"C-NR","C-ST",4437.23873348873
"245",973000,"BOLGER",547,2,2015,0,"ONEIDA","BOLGER L",119,NA,"C-ST","C-ST",3170.97111013986
"246",974200,"BUFFALO",824,1,1988,15.9090909,"ONEIDA","BUFFALO L",104,NA,"NR","NR",NA
"247",974200,"Buffalo",478,1,2018,0,"ONEIDA","BUFFALO L",104,NA,"NR","NR",1885.13076923077
"248",977500,"CLEAR",3242,1,1988,0.0724638,"ONEIDA","CLEAR L",846,NA,"NR","C-NR",NA
"249",977500,"CLEAR",1970,1,1990,0.1449275,"ONEIDA","CLEAR L",846,NA,"NR","C-NR",NA
"250",977500,"CLEAR",3093,1,1996,1.3043478,"ONEIDA","CLEAR L",846,NA,"NR","C-NR",14475.9792869168
"251",977500,"CLEAR",3241,1,2000,5.5797101,"ONEIDA","CLEAR L",846,NA,"NR","C-NR",18769.7519230769
"252",977500,"CLEAR",2096,1,2005,8.55072465,"ONEIDA","CLEAR L",846,NA,"NR","C-NR",19688.6076229326
"253",977500,"CLEAR",2096,1,2005,8.55072465,"ONEIDA","CLEAR L",846,"Baseline","NR","C-NR",19688.6076229326
"254",977500,"Clear",1897,1,2012,4.2753623,"ONEIDA","CLEAR L",846,NA,"NR","C-NR",NA
"255",977500,"CLEAR",807,1,2017,0.1449275,"ONEIDA","CLEAR L",846,NA,"NR","C-NR",NA
"256",977500,"CLEAR",790,3,2022,NA,NA,NA,NA,NA,NA,NA,NA
"257",979100,"Crystal",64,2,2004,0,"LINCOLN","CRYSTAL L",109,"Other","O-ST","NR-2",NA
"258",983500,"Emma",81,3,2012,0,"ONEIDA","EMMA L",223,NA,"NR-2","REM",NA
"259",983600,"ERICKSON",630,2,1986,NA,NA,NA,NA,NA,NA,NA,NA
"260",983600,"ERICKSON",779,2,1987,NA,NA,NA,NA,NA,NA,NA,NA
"261",983600,"Erickson",265,2,2009,NA,NA,NA,NA,NA,NA,NA,NA
"262",989200,"HEMLOCK L",207,2,1989,NA,NA,NA,NA,NA,NA,NA,NA
"263",995000,"JULIA",304,2,1994,29.5238095,"ONEIDA","L JULIA (RHINELANDER)",238,NA,"C-ST","ST",NA
"264",995000,"Julia",433,2,2012,0.7317073,"ONEIDA","L JULIA (RHINELANDER)",238,NA,"C-ST","ST",NA
"265",995000,"JULIA",339,2,2021,0,"ONEIDA","JULIA",238,NA,"C-ST","ST",7527.09206418581
"266",995200,"LAURA",4499,1,1989,NA,NA,NA,NA,NA,NA,NA,NA
"267",995200,"LAURA",3737,1,1994,136.4583333,"VILAS","L LAURA",599,NA,"C-NR","C-ST",10775.3175824176
"268",995200,"LAURA",3530,1,1995,78.3333333,"VILAS","L LAURA",599,NA,"NR","C-ST",7084.63969271469
"269",995200,"LAURA",2422,1,1998,44.5833333,"VILAS","L LAURA",599,NA,"NR","C-ST",7180.42607392607
"270",995200,"LAURA",1321,1,2005,71.808510625,"VILAS","L LAURA",599,"Baseline","C-NR","C-ST",NA
"271",995200,"LAURA",2728,1,2016,0,"VILAS","L LAURA",599,NA,"NR","C-ST",5819.40015540016
"272",995200,"LAURA",1214,2,2021,1.2,"VILAS","LAURA",599,NA,"C-ST","C-ST",NA
"273",1001000,"LONG",83,2,2007,0,"LINCOLN","LONG L",132,"Other","ST","ST",NA
"274",1001300,"LONG",206,2,1999,0.3448276,"ONEIDA","LONG L",113,NA,"ST","C-NR",NA
"275",1004600,"MILDRED",154,3,2005,0,"ONEIDA","MILDRED L",191,"Other","NR","C-ST",NA
"276",1005600,"MOCCASIN",341,2,1981,NA,NA,NA,NA,NA,NA,NA,NA
"277",1005600,"MOCCASIN",84,2,2005,0,"LANGLADE","MOCCASIN L",110,"Other","C-ST","C-ST",NA
"278",1012100,"PINE",1273,1,1981,NA,NA,NA,NA,NA,NA,NA,NA
"279",1012100,"PINE",318,2,2001,0,"LINCOLN","PINE L",134,NA,"O-ST","C-ST",NA
"280",1013800,"RAZORBACK",2369,2,1999,41.2328767,"VILAS","RAZORBACK L",362,NA,"C-ST","NR",NA
"281",1013800,"Razorback",2671,1,2007,NA,NA,NA,NA,NA,NA,NA,NA
"282",1013800,"RAZORBACK",3082,1,2014,21.9178082,"VILAS","RAZORBACK L",362,NA,"C-NR","NR",NA
"283",1017400,"SILVER",70,3,2017,3.8095238,"LINCOLN","SILVER L",82,NA,"NR","C-ST",NA
"284",1018500,"SNIPE",389,1,1995,130.3703704,"VILAS","SNIPE L",239,NA,"C-NR","NR",5281.21516330891
"285",1018500,"SNIPE",1141,1,2000,1.4814815,"VILAS","SNIPE L",239,NA,"NR","NR",3068.54335664336
"286",1018500,"SNIPE",1348,1,2003,12.962963,"VILAS","SNIPE L",239,NA,"NR","NR",3006.5025974026
"287",1018500,"Snipe",1226,1,2006,3.3333333,"VILAS","SNIPE L",239,"Baseline","NR","NR",3094.52259615385
"288",1018500,"Snipe",626,1,2009,57.4074074,"VILAS","SNIPE L",239,NA,"NR","NR",3491.08005050505
"289",1018500,"Snipe",997,1,2012,2.5925926,"VILAS","SNIPE L",239,NA,"NR","NR",3803.88578643579
"290",1018500,"SNIPE",2232,1,2015,15.1851852,"VILAS","SNIPE L",239,NA,"NR","NR",3607.99733599734
"291",1018500,"Snipe",799,1,2018,42.5925926,"VILAS","SNIPE L",239,NA,"NR","NR",6270.19853757354
"292",1018500,"SNIPE",1059,1,2021,98.95,"VILAS","SNIPE",239,NA,"NR","NR",4020.20867673993
"293",1019500,"SQUASH LAK",2003,1,1991,12.4324324,"ONEIDA","SQUASH L",396,NA,"NR","C-NR",14713.3131118881
"294",1019500,"Squash",809,1,2009,0.7142857,"ONEIDA","SQUASH L",396,NA,"NR-2","C-NR",NA
"295",1019500,"Squash",305,1,2016,NA,NA,NA,NA,NA,NA,NA,NA
"296",1022900,"TOWANDA L",386,2,1989,NA,NA,NA,NA,NA,NA,NA,NA
"297",1406300,"PIKE",738,2,1973,NA,NA,NA,NA,NA,NA,NA,NA
"298",1406300,"PIKE",419,2,1994,0.4166667,"MARATHON","PIKE L",205,NA,"ST","ST",NA
"299",1406300,"PIKE",116,2,2021,0,"MARATHON","PIKE",205,NA,"ST","ST",NA
"300",1427400,"BIG EAU PL",10130,1,1985,NA,NA,NA,NA,NA,NA,NA,NA
"301",1427400,"BIG EAU PL",12770,1,1993,48.0967742,"MARATHON","BIG EAU PLEINE RESERVOIR",6830,NA,"C-","C-NR",NA
"302",1427400,"BIG EAU PL",30594,1,1999,NA,NA,NA,NA,NA,NA,NA,NA
"303",1427400,"BIG EAU PL",43695,1,2003,23.7446809,"MARATHON","BIG EAU PLEINE RESERVOIR",6830,NA,"NR","C-NR",15196.2222222222
"304",1427400,"BIG EAU PLEINE",22438,1,2017,10.9090909,"MARATHON","BIG EAU PLEINE RESERVOIR",6830,NA,"C-NR","C-NR",NA
"305",1445600,"SUMMIT",65,3,2002,0,"LANGLADE","SUMMIT L",282,NA,"O-ST","C-ST",NA
"306",1445600,"Summit",341,2,2019,0,"LANGLADE","SUMMIT",282,NA,"O-ST","C-ST",1359.62907925408
"307",1467800,"WELLINGTON",108,2,2022,1.538461538,"TAYLOR","WELLINGTON",43,NA,"O-ST","O-ST",NA
"308",1469100,"RIB",2127,1,1998,10.6060606,"TAYLOR","RIB L",320,NA,"C-","C-NR",NA
"309",1469100,"RIB",628,1,2003,18.1818182,"TAYLOR","RIB L",320,NA,"C-NR","C-NR",NA
"310",1469100,"RIB",219,1,2015,0.3125,"TAYLOR","RIB L",320,NA,"C-NR","C-NR",6825.23201798202
"311",1481600,"PESABIC",73,2,1980,NA,NA,NA,NA,NA,NA,NA,NA
"312",1481600,"PESABIC",151,2,2003,0,"LINCOLN","PESABIC L",146,NA,"ST","ST",NA
"313",1481600,"Pesobic",82,2,2019,0,"LINCOLN","PESOBIC",146,NA,"ST","ST",NA
