WBIC,Lake Name,County,Area (acres),Area (ha),Max Depth (ft),Max Depth (m),Latitude,Longitude,Final Lake Class,Temp Transitional,Clarity Transitional,If not then (for 2-story and stocked trout lakes)
2393700,Mud Lake T38N R09W S17,Sawyer,17,6.9,42,12.8,45.7737665,-91.5014918,Complex - Warm - Dark,n/a,n/a,n/a
2382200,Mud Lake T39N R05W S16,Sawyer,35,14.2,5,1.5,45.8671993,-91.0052838,Simple - Harsh - Has Fishery,n/a,n/a,n/a
1868000,Mud Lake T39N R09W S27,Sawyer,7,2.8,16,4.9,45.8403863,-91.4790756,Simple - Harsh - Has Fishery,n/a,n/a,n/a
1868300,Mud Lake T40N R05W S02,Sawyer,7,2.8,15,4.6,45.9732187,-90.9456236,Simple - Warm - Dark,n/a,n/a,n/a
2484100,Mud Lake T40N R09W S07,Sawyer,32,12.9,4,1.2,45.9574811,-91.5224661,Simple - Harsh - No Fishery,n/a,n/a,n/a
2434800,Mud Lake T41N R07W S33,Sawyer,480,194.2,15,4.6,45.9971821,-91.247784,Complex - Cool - Dark,no,yes,n/a
1868400,Mukwonago Lake,Sawyer,2,0.8,10,3.0,46.0640635,-91.1413803,Simple - Harsh - No Fishery,n/a,n/a,n/a
2384000,Murphy Lake,Sawyer,15,6.1,37,11.3,45.6965112,-91.208183,Simple - Warm - Dark,n/a,n/a,n/a
2704200,Nelson Lake (Totagatic Flow),Sawyer,2503,1012.9,33,10.1,46.0785284,-91.4729921,Complex - Cool - Dark,no,no,n/a
1870800,Noble Lake (Big Bass),Sawyer,13,5.3,13,4.0,46.1389508,-90.9763448,Simple - Warm - Dark,n/a,n/a,n/a
2436000,North Lake,Sawyer,129,52.2,30,9.1,46.1207294,-91.2150409,Complex - Cool - Dark,no,no,n/a
2419000,Ole Lake,Sawyer,86,34.8,29,8.8,46.0799745,-91.1648046,Simple - Cool - Clear,no,no,n/a
2436200,One Shoe Lake,Sawyer,3,1.2,8,2.4,46.114759,-91.1954403,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2728400,Osgood Lake,Sawyer,4,1.6,10,3.0,46.0818859,-91.3807918,Simple - Trout Pond,n/a,n/a,n/a
2728900,Pacwawong Spring,Sawyer,13,5.3,14,4.3,46.1367048,-91.3401794,Complex - Cool - Dark,no,no,n/a
2424600,Partridge Crop Lake,Sawyer,45,18.2,5,1.5,46.0827606,-90.9970304,Complex - Riverine,n/a,n/a,n/a
1873000,Pearce Lake,Sawyer,7,2.8,5,1.5,45.8440227,-91.4628711,Simple - Harsh - No Fishery,n/a,n/a,n/a
1873100,Pelican Lake (Little Pelican),Sawyer,32,12.9,16,4.9,45.8382655,-90.6823642,Simple - Cool - Clear,no,no,n/a
1873600,Perch Lake T40N R05W S35 (Bass),Sawyer,24,9.7,,,45.9010745,-90.9536657,Complex - Cool - Clear,n/a,n/a,n/a
1873500,Perch Lake T42N R06W S25,Sawyer,12,4.9,19,5.8,46.0899821,-91.0659703,Simple - Trout Pond,n/a,n/a,n/a
1873800,Petty Lake,Sawyer,15,6.1,7,2.1,45.9603571,-91.4353781,Simple - Warm - Dark,n/a,n/a,n/a
2727800,Phipps Flowage,Sawyer,143,57.9,13,4.0,46.0690358,-91.4216444,Complex - Warm - Dark,n/a,n/a,n/a
2489000,Phipps Lake,Sawyer,10,4.0,32,9.8,45.983406,-91.4268781,Simple - Cool - Clear,no,no,n/a
2728100,Phipps Spring,Sawyer,31,12.5,13,4.0,46.0680806,-91.4076278,Simple - Warm - Dark,n/a,n/a,n/a
2115400,Pickerel Lake,Sawyer,14,5.7,22,6.7,45.7246105,-91.5107932,Simple - Warm - Dark,n/a,n/a,n/a
2438200,Pike Lake,Sawyer,37,15.0,17,5.2,45.872726,-91.2988429,Complex - Warm - Dark,n/a,n/a,n/a
2433600,Pine Island Lake,Sawyer,47,19.0,13,4.0,45.9602169,-91.2508974,Simple - Cool - Clear,no,yes,n/a
2436500,Placid Lake (Bass),Sawyer,160,64.7,30,9.1,46.026224,-91.2813676,Complex - Cool - Clear,no,no,n/a
2728500,Porcupine Lake,Sawyer,8,3.2,15,4.6,46.09068,-91.3843515,Simple - Trout Pond,n/a,n/a,n/a
2234200,Price Creek Spring,Sawyer,1,0.4,1,0.3,45.7125111,-90.6909889,Simple - Trout Pond,n/a,n/a,n/a
2397400,Radisson Flowage,Sawyer,255,103.2,12,3.7,45.7708443,-91.1931042,Complex - Riverine,n/a,n/a,n/a
2116300,Red Cedar Springs,Sawyer,5,2.0,15,4.6,45.7400428,-91.4600734,Simple - Trout Pond,n/a,n/a,n/a
2426300,Red Ike Lake,Sawyer,37,15.0,11,3.4,46.141384,-90.9611223,Simple - Warm - Dark,n/a,n/a,n/a
2433800,Reed Lake,Sawyer,69,27.9,17,5.2,45.9799367,-91.2460537,Simple - Cool - Clear,no,yes,n/a
2396300,Ring Lake,Sawyer,28,11.3,9,2.7,45.8939349,-91.4889917,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2389500,Rogers Lake,Sawyer,35,14.2,19,5.8,45.772417,-91.4540253,Simple - Warm - Dark,n/a,n/a,n/a
2395600,Round Lake (Big Round),Sawyer,3054,1235.9,74,22.6,46.0143841,-91.3175851,Complex - Two Story,n/a,n/a,Complex - Cool - Clear
1878700,Rush Lake,Sawyer,5,2.0,11,3.4,46.054129,-91.1505929,Simple - Warm - Dark,n/a,n/a,n/a
2494600,Sabin Lake,Sawyer,16,6.5,13,4.0,46.145612,-91.4041965,Simple - Warm - Dark,n/a,n/a,n/a
1879600,Saddle Lake,Sawyer,17,6.9,26,7.9,45.7710517,-91.533691,Simple - Warm - Dark,n/a,n/a,n/a
2393200,Sand Lake,Sawyer,928,375.5,50,15.2,45.8522147,-91.4956505,Complex - Cool - Dark,no,yes,n/a
2396900,Schoolhouse Lake (School),Sawyer,58,23.5,12,3.7,45.9112019,-91.4605342,Simple - Cool - Dark,no,no,n/a
1880800,Sickles Lake,Sawyer,8,3.2,17,5.2,46.1235594,-91.1951617,Simple - Warm - Dark,n/a,n/a,n/a
2497000,Silverthorn Lake,Sawyer,18,7.3,17,5.2,46.1325974,-91.3613366,Simple - Cool - Clear,no,no,n/a
2393500,Sissabagama Lake,Sawyer,719,291.0,48,14.6,45.7909001,-91.5179521,Complex - Cool - Dark,no,no,n/a
2232400,Skinner Creek Flowage*,Sawyer,66,26.7,5,1.5,45.6369366,-90.7165746,Simple - Warm - Dark,n/a,n/a,n/a
2726100,Smith Lake,Sawyer,323,130.7,29,8.8,46.0615887,-91.4974062,Complex - Cool - Dark,no,no,n/a
1881600,Snag Lake,Sawyer,7,2.8,11,3.4,45.9948721,-90.9681284,Simple - Harsh - No Fishery,n/a,n/a,n/a
2416300,Snipe Lake,Sawyer,22,8.9,7,2.1,46.0267315,-91.1094642,Simple - Harsh - Has Fishery,n/a,n/a,n/a
1869500,"South Lake, North",Sawyer,12,4.9,27,8.2,45.6914413,-91.1838516,Simple - Harsh - Has Fishery,n/a,n/a,n/a
1879500,"South Lake, South",Sawyer,9,3.6,40,12.2,45.6879133,-91.1865584,Simple - Warm - Dark,n/a,n/a,n/a
2435700,Spider Lake,Sawyer,1454,588.4,64,19.5,46.0973837,-91.2205548,Complex - Cool - Clear,no,no,n/a
1882700,Spot Lake,Sawyer,2,0.8,2,0.6,46.1460091,-90.9995522,Simple - Harsh - No Fishery,n/a,n/a,n/a
2724900,Spring Lake T40N R09W S12,Sawyer,220,89.0,18,5.5,45.9704775,-91.4235255,Complex - Cool - Clear,no,yes,n/a
2433100,Spring Lake T41N R07W S14,Sawyer,22,8.9,9,2.7,46.0333823,-91.2015122,Simple - Cool - Dark,yes,no,n/a
1883100,Spruce Lake,Sawyer,5,2.0,5,1.5,46.119476,-91.0950661,Simple - Harsh - No Fishery,n/a,n/a,n/a
2395100,Squaw Lake (Osprey),Sawyer,208,84.2,32,9.8,45.9783465,-91.2991833,Complex - Cool - Clear,no,no,n/a
2420100,Star Lake,Sawyer,104,42.1,4,1.2,46.1507169,-91.1299403,Simple - Cool - Dark,no,no,n/a
